period_id,jurisdiction,overdose_category,rate_per_10000_ed_visits
jtUOZLP4,FL,all_opioids,5.0
jtUOZLP4,FL,all_stimulants,3.27
jtUOZLP4,FL,heroin,0.09
jtUOZLP4,FL,fentanyl,5.04
jtUOZLP4,FL,cocaine,1.47
jtUOZLP4,FL,methamphetamine,2.21
jtUOZLP4,FL,benzodiazepine,1.32
jtUOZLP4,GA,all_drugs,22.27
jtUOZLP4,GA,all_opioids,10.0
jtUOZLP4,GA,all_stimulants,3.96
jtUOZLP4,GA,heroin,0.14
jtUOZLP4,GA,fentanyl,6.6
jtUOZLP4,GA,cocaine,2.21
jtUOZLP4,GA,methamphetamine,2.77
jtUOZLP4,GA,benzodiazepine,1.93
jtUOZLP4,HI,all_drugs,10.84
jtUOZLP4,HI,all_opioids,4.44
jtUOZLP4,HI,all_stimulants,3.13
jtUOZLP4,HI,heroin,0.06
jtUOZLP4,HI,fentanyl,4.46
jtUOZLP4,HI,cocaine,1.41
jtUOZLP4,HI,methamphetamine,2.34
jtUOZLP4,HI,benzodiazepine,1.18
jtUOZLP4,IA,all_drugs,16.41
jtUOZLP4,IA,all_opioids,5.58
jtUOZLP4,IA,all_stimulants,4.35
jtUOZLP4,IA,heroin,0.09
jtUOZLP4,IA,fentanyl,4.31
jtUOZLP4,IA,cocaine,1.67
jtUOZLP4,IA,methamphetamine,2.39
jtUOZLP4,IA,benzodiazepine,1.53
jtUOZLP4,ID,all_drugs,13.39
jtUOZLP4,ID,all_opioids,7.69
jtUOZLP4,ID,all_stimulants,5.41
jtUOZLP4,ID,heroin,0.09
jtUOZLP4,ID,fentanyl,4.75
jtUOZLP4,ID,cocaine,2.13
jtUOZLP4,ID,methamphetamine,1.54
jtUOZLP4,ID,benzodiazepine,1.6
jtUOZLP4,IL,all_drugs,22.94
jtUOZLP4,IL,all_opioids,4.95
jtUOZLP4,IL,all_stimulants,6.18
jtUOZLP4,IL,heroin,0.12
jtUOZLP4,IL,fentanyl,4.57
jtUOZLP4,IL,cocaine,2.37
jtUOZLP4,IL,methamphetamine,3.16
jtUOZLP4,IL,benzodiazepine,1.45
jtUOZLP4,IN,all_drugs,22.46
jtUOZLP4,IN,all_opioids,11.11
jtUOZLP4,IN,all_stimulants,8.6
jtUOZLP4,IN,heroin,0.14
jtUOZLP4,IN,fentanyl,7.9
jtUOZLP4,IN,cocaine,2.7
jtUOZLP4,IN,methamphetamine,3.76
jtUOZLP4,IN,benzodiazepine,2.78
jtUOZLP4,KS,all_drugs,15.31
jtUOZLP4,KS,all_opioids,6.28
jtUOZLP4,KS,all_stimulants,4.48
jtUOZLP4,KS,heroin,0.08
jtUOZLP4,KS,fentanyl,4.06
jtUOZLP4,KS,cocaine,2.12
jtUOZLP4,KS,methamphetamine,2.8
jtUOZLP4,KS,benzodiazepine,1.05
jtUOZLP4,KY,all_drugs,41.89
jtUOZLP4,KY,all_opioids,19.15
jtUOZLP4,KY,all_stimulants,9.41
jtUOZLP4,KY,heroin,0.21
jtUOZLP4,KY,fentanyl,11.13
jtUOZLP4,KY,cocaine,5.91
jtUOZLP4,KY,methamphetamine,7.18
jtUOZLP4,KY,benzodiazepine,3.17
jtUOZLP4,LA,all_drugs,14.39
jtUOZLP4,LA,all_opioids,9.05
jtUOZLP4,LA,all_stimulants,5.95
jtUOZLP4,LA,heroin,0.13
jtUOZLP4,LA,fentanyl,4.9
jtUOZLP4,LA,cocaine,2.44
jtUOZLP4,LA,methamphetamine,2.45
jtUOZLP4,LA,benzodiazepine,1.92
jtUOZLP4,MA,all_drugs,23.32
jtUOZLP4,MA,all_opioids,13.27
jtUOZLP4,MA,all_stimulants,7.47
jtUOZLP4,MA,heroin,0.13
jtUOZLP4,MA,fentanyl,7.57
jtUOZLP4,MA,cocaine,2.76
jtUOZLP4,MA,methamphetamine,2.89
jtUOZLP4,MA,benzodiazepine,2.89
jtUOZLP4,MD,all_drugs,43.61
jtUOZLP4,MD,all_opioids,15.08
jtUOZLP4,MD,all_stimulants,11.6
jtUOZLP4,MD,heroin,0.27
jtUOZLP4,MD,fentanyl,13.19
jtUOZLP4,MD,cocaine,4.01
jtUOZLP4,MD,methamphetamine,5.18
jtUOZLP4,MD,benzodiazepine,2.49
jtUOZLP4,ME,all_drugs,33.65
jtUOZLP4,ME,all_opioids,15.75
jtUOZLP4,ME,all_stimulants,10.69
jtUOZLP4,ME,heroin,0.2
jtUOZLP4,ME,fentanyl,10.04
jtUOZLP4,ME,cocaine,3.06
jtUOZLP4,ME,methamphetamine,4.72
jtUOZLP4,ME,benzodiazepine,2.61
jtUOZLP4,MI,all_drugs,21.68
jtUOZLP4,MI,all_opioids,7.84
jtUOZLP4,MI,all_stimulants,6.47
jtUOZLP4,MI,heroin,0.14
jtUOZLP4,MI,fentanyl,6.72
jtUOZLP4,MI,cocaine,2.52
jtUOZLP4,MI,methamphetamine,3.41
jtUOZLP4,MI,benzodiazepine,2.43
jtUOZLP4,MN,all_drugs,14.01
jtUOZLP4,MN,all_opioids,6.76
jtUOZLP4,MN,all_stimulants,5.21
jtUOZLP4,MN,heroin,0.09
jtUOZLP4,MN,fentanyl,3.15
jtUOZLP4,MN,cocaine,1.52
jtUOZLP4,MN,methamphetamine,2.36
jtUOZLP4,MN,benzodiazepine,1.28
jtUOZLP4,MO,all_drugs,30.55
jtUOZLP4,MO,all_opioids,14.15
jtUOZLP4,MO,all_stimulants,6.84
jtUOZLP4,MO,heroin,0.13
jtUOZLP4,MO,fentanyl,7.52
jtUOZLP4,MO,cocaine,2.81
jtUOZLP4,MO,methamphetamine,4.61
jtUOZLP4,MO,benzodiazepine,2.03
jtUOZLP4,MS,all_drugs,22.34
jtUOZLP4,MS,all_opioids,10.69
jtUOZLP4,MS,all_stimulants,6.74
jtUOZLP4,MS,heroin,0.13
jtUOZLP4,MS,fentanyl,6.21
jtUOZLP4,MS,cocaine,3.07
jtUOZLP4,MS,methamphetamine,2.89
jtUOZLP4,MS,benzodiazepine,2.19
jtUOZLP4,MT,all_drugs,14.72
jtUOZLP4,MT,all_opioids,4.8
jtUOZLP4,MT,all_stimulants,4.32
jtUOZLP4,MT,heroin,0.09
jtUOZLP4,MT,fentanyl,4.67
jtUOZLP4,MT,cocaine,1.62
jtUOZLP4,MT,methamphetamine,2.46
jtUOZLP4,MT,benzodiazepine,1.6
jtUOZLP4,NC,all_drugs,19.18
jtUOZLP4,NC,all_opioids,8.43
jtUOZLP4,NC,all_stimulants,5.05
jtUOZLP4,NC,heroin,0.12
jtUOZLP4,NC,fentanyl,7.67
jtUOZLP4,NC,cocaine,2.9
jtUOZLP4,NC,methamphetamine,2.73
jtUOZLP4,NC,benzodiazepine,2.49
jtUOZLP4,ND,all_drugs,12.67
jtUOZLP4,ND,all_opioids,5.0
jtUOZLP4,ND,all_stimulants,3.18
jtUOZLP4,ND,heroin,0.07
jtUOZLP4,ND,fentanyl,4.45
jtUOZLP4,ND,cocaine,1.54
jtUOZLP4,ND,methamphetamine,1.81
jtUOZLP4,ND,benzodiazepine,1.12
jtUOZLP4,NE,all_drugs,11.92
jtUOZLP4,NE,all_opioids,5.43
jtUOZLP4,NE,all_stimulants,4.9
jtUOZLP4,NE,heroin,0.11
jtUOZLP4,NE,fentanyl,5.77
jtUOZLP4,NE,cocaine,1.88
jtUOZLP4,NE,methamphetamine,1.97
jtUOZLP4,NE,benzodiazepine,1.22
jtUOZLP4,NH,all_drugs,31.7
jtUOZLP4,NH,all_opioids,12.07
jtUOZLP4,NH,all_stimulants,9.03
jtUOZLP4,NH,heroin,0.22
jtUOZLP4,NH,fentanyl,9.3
jtUOZLP4,NH,cocaine,4.56
jtUOZLP4,NH,methamphetamine,3.53
jtUOZLP4,NH,benzodiazepine,2.9
jtUOZLP4,NJ,all_drugs,15.78
jtUOZLP4,NJ,all_opioids,5.66
jtUOZLP4,NJ,all_stimulants,5.04
jtUOZLP4,NJ,heroin,0.11
jtUOZLP4,NJ,fentanyl,6.35
jtUOZLP4,NJ,cocaine,1.91
jtUOZLP4,NJ,methamphetamine,1.61
jtUOZLP4,NJ,benzodiazepine,1.54
jtUOZLP4,NM,all_drugs,35.37
jtUOZLP4,NM,all_opioids,13.52
jtUOZLP4,NM,all_stimulants,9.81
jtUOZLP4,NM,heroin,0.18
jtUOZLP4,NM,fentanyl,9.87
jtUOZLP4,NM,cocaine,4.38
jtUOZLP4,NM,methamphetamine,5.74
jtUOZLP4,NM,benzodiazepine,2.46
jtUOZLP4,NV,all_drugs,20.1
jtUOZLP4,NV,all_opioids,7.3
jtUOZLP4,NV,all_stimulants,8.29
jtUOZLP4,NV,heroin,0.15
jtUOZLP4,NV,fentanyl,4.82
jtUOZLP4,NV,cocaine,2.57
jtUOZLP4,NV,methamphetamine,3.11
jtUOZLP4,NV,benzodiazepine,1.84
jtUOZLP4,NY,all_drugs,18.39
jtUOZLP4,NY,all_opioids,8.07
jtUOZLP4,NY,all_stimulants,4.94
jtUOZLP4,NY,heroin,0.09
jtUOZLP4,NY,fentanyl,4.56
jtUOZLP4,NY,cocaine,1.91
jtUOZLP4,NY,methamphetamine,2.21
jtUOZLP4,NY,benzodiazepine,1.52
jtUOZLP4,OH,all_drugs,45.38
jtUOZLP4,OH,all_opioids,14.2
jtUOZLP4,OH,all_stimulants,11.08
jtUOZLP4,OH,heroin,0.25
jtUOZLP4,OH,fentanyl,16.36
jtUOZLP4,OH,cocaine,5.63
jtUOZLP4,OH,methamphetamine,6.25
jtUOZLP4,OH,benzodiazepine,4.24
jtUOZLP4,OK,all_drugs,18.14
jtUOZLP4,OK,all_opioids,9.42
jtUOZLP4,OK,all_stimulants,5.86
jtUOZLP4,OK,heroin,0.13
jtUOZLP4,OK,fentanyl,4.64
jtUOZLP4,OK,cocaine,1.93
jtUOZLP4,OK,methamphetamine,2.86
jtUOZLP4,OK,benzodiazepine,1.89
jtUOZLP4,OR,all_drugs,31.89
jtUOZLP4,OR,all_opioids,7.53
jtUOZLP4,OR,all_stimulants,6.97
jtUOZLP4,OR,heroin,0.14
jtUOZLP4,OR,fentanyl,7.68
jtUOZLP4,OR,cocaine,3.53
jtUOZLP4,OR,methamphetamine,3.96
jtUOZLP4,OR,benzodiazepine,1.7
jtUOZLP4,PA,all_drugs,32.97
jtUOZLP4,PA,all_opioids,14.47
jtUOZLP4,PA,all_stimulants,8.32
jtUOZLP4,PA,heroin,0.12
jtUOZLP4,PA,fentanyl,8.29
jtUOZLP4,PA,cocaine,3.42
jtUOZLP4,PA,methamphetamine,4.6
jtUOZLP4,PA,benzodiazepine,1.88
jtUOZLP4,RI,all_drugs,17.78
jtUOZLP4,RI,all_opioids,10.31
jtUOZLP4,RI,all_stimulants,7.35
jtUOZLP4,RI,heroin,0.13
jtUOZLP4,RI,fentanyl,7.46
jtUOZLP4,RI,cocaine,2.56
jtUOZLP4,RI,methamphetamine,3.43
jtUOZLP4,RI,benzodiazepine,1.96
jtUOZLP4,SC,all_drugs,23.34
jtUOZLP4,SC,all_opioids,7.83
jtUOZLP4,SC,all_stimulants,7.2
jtUOZLP4,SC,heroin,0.11
jtUOZLP4,SC,fentanyl,7.64
jtUOZLP4,SC,cocaine,2.43
jtUOZLP4,SC,methamphetamine,3.43
jtUOZLP4,SC,benzodiazepine,1.78
jtUOZLP4,SD,all_drugs,13.16
jtUOZLP4,SD,all_opioids,6.61
jtUOZLP4,SD,all_stimulants,4.73
jtUOZLP4,SD,heroin,0.1
jtUOZLP4,SD,fentanyl,3.73
jtUOZLP4,SD,cocaine,1.32
jtUOZLP4,SD,methamphetamine,1.81
jtUOZLP4,SD,benzodiazepine,1.14
jtUOZLP4,TN,all_drugs,41.37
jtUOZLP4,TN,all_opioids,17.72
jtUOZLP4,TN,all_stimulants,8.51
jtUOZLP4,TN,heroin,0.25
jtUOZLP4,TN,fentanyl,12.64
jtUOZLP4,TN,cocaine,3.02
jtUOZLP4,TN,methamphetamine,4.23
jtUOZLP4,TN,benzodiazepine,2.4
jtUOZLP4,TX,all_drugs,13.23
jtUOZLP4,TX,all_opioids,5.92
jtUOZLP4,TX,all_stimulants,4.01
jtUOZLP4,TX,heroin,0.06
jtUOZLP4,TX,fentanyl,3.33
jtUOZLP4,TX,cocaine,1.66
jtUOZLP4,TX,methamphetamine,2.19
jtUOZLP4,TX,benzodiazepine,0.89
jtUOZLP4,UT,all_drugs,12.18
jtUOZLP4,UT,all_opioids,7.66
jtUOZLP4,UT,all_stimulants,3.67
jtUOZLP4,UT,heroin,0.09
jtUOZLP4,UT,fentanyl,3.83
jtUOZLP4,UT,cocaine,2.02
jtUOZLP4,UT,methamphetamine,1.57
jtUOZLP4,UT,benzodiazepine,1.37
jtUOZLP4,VA,all_drugs,24.85
jtUOZLP4,VA,all_opioids,10.46
jtUOZLP4,VA,all_stimulants,6.05
jtUOZLP4,VA,heroin,0.12
jtUOZLP4,VA,fentanyl,6.65
jtUOZLP4,VA,cocaine,2.1
jtUOZLP4,VA,methamphetamine,3.2
jtUOZLP4,VA,benzodiazepine,2.05
jtUOZLP4,VT,all_drugs,23.55
jtUOZLP4,VT,all_opioids,12.72
jtUOZLP4,VT,all_stimulants,6.3
jtUOZLP4,VT,heroin,0.11
jtUOZLP4,VT,fentanyl,7.32
jtUOZLP4,VT,cocaine,3.06
jtUOZLP4,VT,methamphetamine,3.69
jtUOZLP4,VT,benzodiazepine,2.35
jtUOZLP4,WA,all_drugs,13.92
jtUOZLP4,WA,all_opioids,6.29
jtUOZLP4,WA,all_stimulants,4.63
jtUOZLP4,WA,heroin,0.09
jtUOZLP4,WA,fentanyl,6.17
jtUOZLP4,WA,cocaine,2.08
jtUOZLP4,WA,methamphetamine,2.3
jtUOZLP4,WA,benzodiazepine,1.86
jtUOZLP4,WI,all_drugs,19.66
jtUOZLP4,WI,all_opioids,6.46
jtUOZLP4,WI,all_stimulants,2.83
jtUOZLP4,WI,heroin,0.09
jtUOZLP4,WI,fentanyl,6.35
jtUOZLP4,WI,cocaine,2.49
jtUOZLP4,WI,methamphetamine,2.07
jtUOZLP4,WI,benzodiazepine,1.93
jtUOZLP4,WV,all_drugs,58.59
jtUOZLP4,WV,all_opioids,28.54
jtUOZLP4,WV,all_stimulants,18.28
jtUOZLP4,WV,heroin,0.38
jtUOZLP4,WV,fentanyl,18.2
jtUOZLP4,WV,cocaine,6.84
jtUOZLP4,WV,methamphetamine,7.6
jtUOZLP4,WV,benzodiazepine,5.75
jtUOZLP4,WY,all_drugs,12.06
jtUOZLP4,WY,all_opioids,6.5
jtUOZLP4,WY,all_stimulants,4.86
jtUOZLP4,WY,heroin,0.11
jtUOZLP4,WY,fentanyl,4.43
jtUOZLP4,WY,cocaine,2.06
jtUOZLP4,WY,methamphetamine,2.18
jtUOZLP4,WY,benzodiazepine,1.65
ePA08XXo,AK,all_drugs,14.28
ePA08XXo,AK,all_opioids,11.14
ePA08XXo,AK,all_stimulants,5.85
ePA08XXo,AK,heroin,0.27
ePA08XXo,AK,fentanyl,5.42
ePA08XXo,AK,cocaine,2.13
ePA08XXo,AK,methamphetamine,1.71
ePA08XXo,AK,benzodiazepine,1.75
ePA08XXo,AL,all_drugs,22.78
ePA08XXo,AL,all_opioids,14.67
ePA08XXo,AL,all_stimulants,5.15
ePA08XXo,AL,heroin,0.35
ePA08XXo,AL,fentanyl,5.75
ePA08XXo,AL,cocaine,2.92
ePA08XXo,AL,methamphetamine,2.36
ePA08XXo,AL,benzodiazepine,2.17
ePA08XXo,AR,all_drugs,24.4
ePA08XXo,AR,all_opioids,10.62
ePA08XXo,AR,all_stimulants,5.03
ePA08XXo,AR,heroin,0.26
ePA08XXo,AR,fentanyl,3.32
ePA08XXo,AR,cocaine,2.34
ePA08XXo,AR,methamphetamine,2.17
ePA08XXo,AR,benzodiazepine,1.99
ePA08XXo,AZ,all_drugs,21.35
ePA08XXo,AZ,all_opioids,10.74
ePA08XXo,AZ,all_stimulants,4.95
ePA08XXo,AZ,heroin,0.16
ePA08XXo,AZ,fentanyl,5.38
ePA08XXo,AZ,cocaine,1.74
ePA08XXo,AZ,methamphetamine,2.5
ePA08XXo,AZ,benzodiazepine,1.68
ePA08XXo,CA,all_drugs,19.9
ePA08XXo,CA,all_opioids,7.86
ePA08XXo,CA,all_stimulants,3.43
ePA08XXo,CA,heroin,0.22
ePA08XXo,CA,fentanyl,3.24
ePA08XXo,CA,cocaine,1.5
ePA08XXo,CA,methamphetamine,1.5
ePA08XXo,CA,benzodiazepine,1.09
ePA08XXo,CO,all_drugs,20.63
ePA08XXo,CO,all_opioids,9.83
ePA08XXo,CO,all_stimulants,4.4
ePA08XXo,CO,heroin,0.24
ePA08XXo,CO,fentanyl,4.23
ePA08XXo,CO,cocaine,1.74
ePA08XXo,CO,methamphetamine,1.87
ePA08XXo,CO,benzodiazepine,1.52
ePA08XXo,CT,all_drugs,15.65
ePA08XXo,CT,all_opioids,10.06
ePA08XXo,CT,all_stimulants,4.04
ePA08XXo,CT,heroin,0.27
ePA08XXo,CT,fentanyl,5.58
ePA08XXo,CT,cocaine,1.92
ePA08XXo,CT,methamphetamine,2.39
ePA08XXo,CT,benzodiazepine,1.06
ePA08XXo,DC,all_drugs,26.29
ePA08XXo,DC,all_opioids,14.85
ePA08XXo,DC,all_stimulants,6.66
ePA08XXo,DC,heroin,0.46
ePA08XXo,DC,fentanyl,8.66
ePA08XXo,DC,cocaine,2.68
ePA08XXo,DC,methamphetamine,2.87
ePA08XXo,DC,benzodiazepine,1.85
ePA08XXo,DE,all_drugs,30.13
ePA08XXo,DE,all_opioids,13.67
ePA08XXo,DE,all_stimulants,6.44
ePA08XXo,DE,heroin,0.36
ePA08XXo,DE,fentanyl,8.36
ePA08XXo,DE,cocaine,3.67
ePA08XXo,DE,methamphetamine,3.89
ePA08XXo,DE,benzodiazepine,2.34
ePA08XXo,FL,all_drugs,19.86
ePA08XXo,FL,all_opioids,8.14
ePA08XXo,FL,all_stimulants,3.73
ePA08XXo,FL,heroin,0.22
ePA08XXo,FL,fentanyl,4.06
ePA08XXo,FL,cocaine,1.71
ePA08XXo,FL,methamphetamine,1.85
ePA08XXo,FL,benzodiazepine,1.17
ePA08XXo,GA,all_drugs,21.5
ePA08XXo,GA,all_opioids,11.42
ePA08XXo,GA,all_stimulants,5.65
ePA08XXo,GA,heroin,0.3
ePA08XXo,GA,fentanyl,4.91
ePA08XXo,GA,cocaine,2.61
ePA08XXo,GA,methamphetamine,2.96
ePA08XXo,GA,benzodiazepine,1.3
ePA08XXo,HI,all_drugs,17.05
ePA08XXo,HI,all_opioids,6.17
ePA08XXo,HI,all_stimulants,3.18
ePA08XXo,HI,heroin,0.21
ePA08XXo,HI,fentanyl,4.3
ePA08XXo,HI,cocaine,1.47
ePA08XXo,HI,methamphetamine,1.55
ePA08XXo,HI,benzodiazepine,0.86
ePA08XXo,IA,all_drugs,12.7
ePA08XXo,IA,all_opioids,9.27
ePA08XXo,IA,all_stimulants,4.78
ePA08XXo,IA,heroin,0.21
ePA08XXo,IA,fentanyl,4.25
ePA08XXo,IA,cocaine,1.51
ePA08XXo,IA,methamphetamine,1.75
ePA08XXo,IA,benzodiazepine,1.61
ePA08XXo,ID,all_drugs,20.94
ePA08XXo,ID,all_opioids,8.79
ePA08XXo,ID,all_stimulants,6.18
ePA08XXo,ID,heroin,0.2
ePA08XXo,ID,fentanyl,5.33
ePA08XXo,ID,cocaine,1.54
ePA08XXo,ID,methamphetamine,2.08
ePA08XXo,ID,benzodiazepine,1.57
ePA08XXo,IL,all_drugs,25.13
ePA08XXo,IL,all_opioids,9.62
ePA08XXo,IL,all_stimulants,4.59
ePA08XXo,IL,heroin,0.27
ePA08XXo,IL,fentanyl,4.54
ePA08XXo,IL,cocaine,2.2
ePA08XXo,IL,methamphetamine,2.44
ePA08XXo,IL,benzodiazepine,1.8
ePA08XXo,IN,all_drugs,30.1
ePA08XXo,IN,all_opioids,13.26
ePA08XXo,IN,all_stimulants,7.8
ePA08XXo,IN,heroin,0.45
ePA08XXo,IN,fentanyl,8.96
ePA08XXo,IN,cocaine,2.9
ePA08XXo,IN,methamphetamine,3.85
ePA08XXo,IN,benzodiazepine,2.16
ePA08XXo,KS,all_drugs,17.7
ePA08XXo,KS,all_opioids,9.66
ePA08XXo,KS,all_stimulants,4.48
ePA08XXo,KS,heroin,0.22
ePA08XXo,KS,fentanyl,3.74
ePA08XXo,KS,cocaine,1.6
ePA08XXo,KS,methamphetamine,1.72
ePA08XXo,KS,benzodiazepine,1.74
ePA08XXo,KY,all_drugs,51.96
ePA08XXo,KY,all_opioids,18.53
ePA08XXo,KY,all_stimulants,8.57
ePA08XXo,KY,heroin,0.53
ePA08XXo,KY,fentanyl,10.38
ePA08XXo,KY,cocaine,4.1
ePA08XXo,KY,methamphetamine,5.72
ePA08XXo,KY,benzodiazepine,3.03
ePA08XXo,LA,all_drugs,29.97
ePA08XXo,LA,all_opioids,8.59
ePA08XXo,LA,all_stimulants,3.83
ePA08XXo,LA,heroin,0.36
ePA08XXo,LA,fentanyl,6.49
ePA08XXo,LA,cocaine,1.96
ePA08XXo,LA,methamphetamine,2.48
ePA08XXo,LA,benzodiazepine,1.8
ePA08XXo,MA,all_drugs,28.97
ePA08XXo,MA,all_opioids,10.26
ePA08XXo,MA,all_stimulants,3.88
ePA08XXo,MA,heroin,0.32
ePA08XXo,MA,fentanyl,8.78
ePA08XXo,MA,cocaine,3.28
ePA08XXo,MA,methamphetamine,2.87
ePA08XXo,MA,benzodiazepine,1.85
ePA08XXo,MD,all_drugs,44.36
ePA08XXo,MD,all_opioids,20.37
ePA08XXo,MD,all_stimulants,10.12
ePA08XXo,MD,heroin,0.34
ePA08XXo,MD,fentanyl,15.25
ePA08XXo,MD,cocaine,4.5
ePA08XXo,MD,methamphetamine,4.34
ePA08XXo,MD,benzodiazepine,2.88
ePA08XXo,ME,all_drugs,41.91
ePA08XXo,ME,all_opioids,17.6
ePA08XXo,ME,all_stimulants,8.07
ePA08XXo,ME,heroin,0.5
ePA08XXo,ME,fentanyl,8.72
ePA08XXo,ME,cocaine,3.49
ePA08XXo,ME,methamphetamine,4.26
ePA08XXo,ME,benzodiazepine,2.91
ePA08XXo,MI,all_drugs,25.4
ePA08XXo,MI,all_opioids,13.2
ePA08XXo,MI,all_stimulants,4.03
ePA08XXo,MI,heroin,0.27
ePA08XXo,MI,fentanyl,5.94
ePA08XXo,MI,cocaine,1.96
ePA08XXo,MI,methamphetamine,2.41
ePA08XXo,MI,benzodiazepine,2.2
ePA08XXo,MN,all_drugs,16.85
ePA08XXo,MN,all_opioids,5.61
ePA08XXo,MN,all_stimulants,3.52
ePA08XXo,MN,heroin,0.22
ePA08XXo,MN,fentanyl,4.21
ePA08XXo,MN,cocaine,1.69
ePA08XXo,MN,methamphetamine,1.94
ePA08XXo,MN,benzodiazepine,1.28
ePA08XXo,MO,all_drugs,24.98
ePA08XXo,MO,all_opioids,12.75
ePA08XXo,MO,all_stimulants,6.01
ePA08XXo,MO,heroin,0.37
ePA08XXo,MO,fentanyl,8.16
ePA08XXo,MO,cocaine,2.91
ePA08XXo,MO,methamphetamine,3.59
ePA08XXo,MO,benzodiazepine,2.18
ePA08XXo,MS,all_drugs,29.84
ePA08XXo,MS,all_opioids,12.02
ePA08XXo,MS,all_stimulants,5.39
ePA08XXo,MS,heroin,0.34
ePA08XXo,MS,fentanyl,5.31
ePA08XXo,MS,cocaine,1.5
ePA08XXo,MS,methamphetamine,2.33
ePA08XXo,MS,benzodiazepine,2.05
ePA08XXo,MT,all_drugs,18.47
ePA08XXo,MT,all_opioids,8.02
ePA08XXo,MT,all_stimulants,3.47
ePA08XXo,MT,heroin,0.17
ePA08XXo,MT,fentanyl,5.38
ePA08XXo,MT,cocaine,1.6
ePA08XXo,MT,methamphetamine,1.8
ePA08XXo,MT,benzodiazepine,1.25
ePA08XXo,NC,all_drugs,28.92
ePA08XXo,NC,all_opioids,12.36
ePA08XXo,NC,all_stimulants,4.53
ePA08XXo,NC,heroin,0.37
ePA08XXo,NC,fentanyl,5.78
ePA08XXo,NC,cocaine,2.0
ePA08XXo,NC,methamphetamine,2.45
ePA08XXo,NC,benzodiazepine,1.63
ePA08XXo,ND,all_drugs,13.01
ePA08XXo,ND,all_opioids,8.13
ePA08XXo,ND,all_stimulants,3.42
ePA08XXo,ND,heroin,0.23
ePA08XXo,ND,fentanyl,4.11
ePA08XXo,ND,cocaine,1.58
ePA08XXo,ND,methamphetamine,1.18
