period_id,jurisdiction,unemployment_rate,labor_force,temp_avg_f,precip_in,gtrends_overdose,gtrends_fentanyl,gtrends_naloxone,gtrends_opioid,gtrends_methamphetamine,state_doh_release
OqDkgaDk,IA,2.8,1701001.0,20.1,1.82,51.85,64.99,58.55,50.72,37.76,"Iowa Department of Health and Human Services Reminds Residents of 911 Good Samaritan Overdose Protections
Under Iowa law, individuals who call 911 to report an overdose are protected from prosecution for possession of a controlled substance for personal use. The Department urges anyone witnessing an overdose to call 911 immediately, administer naloxone if available, place the person in the recovery position, and remain with them until emergency responders arrive. Bystander intervention saves lives; hesitation due to fear of arrest is the leading reason calls are delayed. --- Iowa Department of Health and Human Services Expands Access to Medication for Opioid Use Disorder
The Department announces the addition of approximately 156 new buprenorphine-prescribing clinicians to the Iowa treatment network as a result of the federal removal of the X-waiver requirement and continued state-led training programs. Buprenorphine, methadone, and extended-release naltrexone remain the first-line treatments for opioid use disorder. Residents seeking medication for opioid use disorder may use the SAMHSA treatment locator at FindTreatment.gov or contact the state addiction services helpline. Medicaid covers all three medications and counseling services without prior authorization."
OqDkgaDk,ID,3.4,986066.0,25.4,2.72,53.64,67.23,60.57,52.47,39.06,"Idaho Department of Health and Welfare Warns Public of Counterfeit Pills Containing Fentanyl
Tablets sold as oxycodone, hydrocodone, Adderall, and Xanax continue to be seized in Idaho that, on laboratory analysis, contain illicitly manufactured fentanyl. The Drug Enforcement Administration has reported that approximately 58 percent of counterfeit pills tested nationally contain a potentially lethal dose of fentanyl. Residents are urged to obtain medications only from licensed pharmacies and to assume that any pill obtained from a non-pharmacy source may contain fentanyl regardless of its appearance. Naloxone should be available wherever opioid pills, illicit or otherwise, are present."
OqDkgaDk,IL,4.9,6592588.0,26.5,4.19,56.62,70.96,63.93,55.38,41.23,"Illinois Department of Public Health Announces Recovery Housing Capacity Expansion
A $4,000,000 State Opioid Response grant will fund approximately 200 additional recovery housing beds across 19 provider organizations in Illinois. Recovery housing offers a substance-free living environment for individuals in recovery from opioid and other substance use disorders and is associated with improved treatment retention and reduced overdose recurrence. Funded providers must meet National Alliance for Recovery Residences standards. --- Illinois Department of Public Health Warns Public of Counterfeit Pills Containing Fentanyl
Tablets sold as oxycodone, hydrocodone, Adderall, and Xanax continue to be seized in Illinois that, on laboratory analysis, contain illicitly manufactured fentanyl. The Drug Enforcement Administration has reported that approximately 57 percent of counterfeit pills tested nationally contain a potentially lethal dose of fentanyl. Residents are urged to obtain medications only from licensed pharmacies and to assume that any pill obtained from a non-pharmacy source may contain fentanyl regardless of its appearance. Naloxone should be available wherever opioid pills, illicit or otherwise, are present."
OqDkgaDk,IN,3.7,3435203.0,27.7,5.11,64.37,80.68,72.68,62.96,46.87,"Indiana Department of Health Notes Increasing Co-Involvement of Methamphetamine and Fentanyl
Toxicology data from Indiana continue to show increasing co-involvement of methamphetamine and fentanyl in fatal and nonfatal overdose events; approximately 34 percent of fentanyl-positive overdose specimens were also positive for methamphetamine in the most recent quarter. Stimulant-opioid co-use poses unique clinical challenges; naloxone reverses the opioid component but stimulant toxicity may require separate medical management including supportive care and monitoring for cardiovascular complications. --- Indiana Department of Health Warns of Xylazine Mixed Into Illicit Drug Supply
Toxicology reports from Indiana medical examiners and law-enforcement seizures continue to show xylazine, a non-opioid veterinary sedative, mixed into the illicit fentanyl supply. Xylazine — also known as 'tranq' — was detected in approximately 42 percent of fentanyl-positive specimens analyzed in the past quarter. Xylazine causes prolonged sedation and can produce severe soft-tissue wounds. Naloxone reverses the opioid component of these mixtures and should still be administered when overdose is suspected. Individuals presenting with non-healing wounds should seek medical evaluation and be screened for substance use treatment options including buprenorphine and methadone."
OqDkgaDk,KS,3.1,1532921.0,25.9,1.29,51.85,64.99,58.55,50.72,37.76,"Kansas Department of Health and Environment Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the Kansas syndromic surveillance system indicate an increase of approximately 10 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data."
OqDkgaDk,KY,4.6,2072833.0,33.0,5.89,74.5,93.38,84.12,72.88,54.25,"Kentucky Cabinet for Health and Family Services Pilots Drug Checking and Fentanyl Test Strip Distribution
Beginning this month the Department will support a pilot program providing fentanyl test strips and xylazine immunoassay strips through approximately 18 authorized harm reduction sites across Kentucky. Drug checking allows individuals who use drugs to detect adulterants prior to use, an evidence-based intervention shown to reduce overdose risk. Test strips are legal under Kentucky statute when used for harm reduction and are distributed at no cost to the recipient. Site locations are listed on the Department's harm reduction webpage."
OqDkgaDk,LA,4.2,2085788.0,47.2,9.85,55.43,69.47,62.59,54.22,40.36,
OqDkgaDk,MA,3.7,3881436.0,30.1,7.27,68.54,85.9,77.4,67.04,49.91,
OqDkgaDk,MD,2.8,3225487.0,36.6,5.93,65.56,82.17,74.03,64.13,47.74,"Maryland Department of Health Notes Increasing Co-Involvement of Methamphetamine and Fentanyl
Toxicology data from Maryland continue to show increasing co-involvement of methamphetamine and fentanyl in fatal and nonfatal overdose events; approximately 32 percent of fentanyl-positive overdose specimens were also positive for methamphetamine in the most recent quarter. Stimulant-opioid co-use poses unique clinical challenges; naloxone reverses the opioid component but stimulant toxicity may require separate medical management including supportive care and monitoring for cardiovascular complications. --- Maryland Department of Health Announces Expanded Over-the-Counter Naloxone Availability
Following the U.S. Food and Drug Administration approval of over-the-counter naloxone nasal spray, Maryland Department of Health confirms that Narcan is now available without a prescription at participating retail pharmacies statewide, including major chains. The Department continues to operate 45 community distribution sites and supplies free naloxone to approximately 56 community-based organizations through state and federal opioid response funding. Residents may also request free naloxone by mail through the state harm-reduction program. The Department reminds the public that naloxone reverses opioid overdose only and is safe to administer; bystanders cannot harm a person who does not have opioids in their system."
OqDkgaDk,ME,2.8,700831.0,20.3,3.65,70.33,88.15,79.41,68.79,51.21,"Maine Department of Health and Human Services Issues Public Health Advisory on Cluster of Suspected Fentanyl-Involved Overdoses
Maine health officials are alerting clinicians, first responders, and the public to a recent cluster of 22 suspected nonfatal overdose events reported in the Lewiston area. Preliminary toxicology indicates involvement of illicitly manufactured fentanyl, with several specimens also positive for benzodiazepine analogues. Naloxone remains the recommended reversal agent; clinicians should be prepared to administer repeat doses given fentanyl potency. Community members are encouraged to obtain naloxone through participating pharmacies or county health departments at no cost. Anyone witnessing an overdose should call 911; the Maine Good Samaritan law provides limited protection from prosecution for those seeking help."
OqDkgaDk,MI,3.9,5037855.0,24.5,2.69,57.81,72.46,65.28,56.55,42.1,
OqDkgaDk,MN,2.8,3112774.0,15.5,0.48,52.45,65.74,59.22,51.3,38.19,
OqDkgaDk,MO,3.5,3126116.0,27.8,3.51,64.37,80.68,72.68,62.96,46.87,"Missouri Department of Health and Senior Services Warns Public of Counterfeit Pills Containing Fentanyl
Tablets sold as oxycodone, hydrocodone, Adderall, and Xanax continue to be seized in Missouri that, on laboratory analysis, contain illicitly manufactured fentanyl. The Drug Enforcement Administration has reported that approximately 54 percent of counterfeit pills tested nationally contain a potentially lethal dose of fentanyl. Residents are urged to obtain medications only from licensed pharmacies and to assume that any pill obtained from a non-pharmacy source may contain fentanyl regardless of its appearance. Naloxone should be available wherever opioid pills, illicit or otherwise, are present."
OqDkgaDk,MS,2.8,1254189.0,42.7,8.61,57.22,71.71,64.61,55.97,41.66,"Mississippi State Department of Health Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the Mississippi syndromic surveillance system indicate stable rates of approximately 11 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data."
OqDkgaDk,MT,3.1,575231.0,17.8,0.89,52.45,65.74,59.22,51.3,38.19,
OqDkgaDk,NC,3.5,5291403.0,41.8,5.43,58.41,73.21,65.95,57.13,42.53,
OqDkgaDk,ND,2.2,420903.0,12.4,0.17,48.87,61.25,55.19,47.81,35.59,"North Dakota Department of Health and Human Services Opens Naloxone Vending Machines and Harm-Reduction Kiosks
Naloxone vending machines providing free Narcan nasal spray, fentanyl test strips, and overdose education materials are now operational at 8 locations across North Dakota, including Fargo, Bismarck, Grand Forks. The machines operate 24 hours a day and require no identification, prescription, or fee. Use of the machines is anonymous and protected under state public health authority. The Department will continue to expand kiosk placement in partnership with libraries, transit hubs, and community organizations. --- North Dakota Department of Health and Human Services Expands Access to Medication for Opioid Use Disorder
The Department announces the addition of approximately 242 new buprenorphine-prescribing clinicians to the North Dakota treatment network as a result of the federal removal of the X-waiver requirement and continued state-led training programs. Buprenorphine, methadone, and extended-release naltrexone remain the first-line treatments for opioid use disorder. Residents seeking medication for opioid use disorder may use the SAMHSA treatment locator at FindTreatment.gov or contact the state addiction services helpline. Medicaid covers all three medications and counseling services without prior authorization."
OqDkgaDk,NE,2.5,1069771.0,20.4,0.71,51.26,64.24,57.88,50.14,37.32,"Nebraska Department of Health and Human Services Warns Public of Counterfeit Pills Containing Fentanyl
Tablets sold as oxycodone, hydrocodone, Adderall, and Xanax continue to be seized in Nebraska that, on laboratory analysis, contain illicitly manufactured fentanyl. The Drug Enforcement Administration has reported that approximately 47 percent of counterfeit pills tested nationally contain a potentially lethal dose of fentanyl. Residents are urged to obtain medications only from licensed pharmacies and to assume that any pill obtained from a non-pharmacy source may contain fentanyl regardless of its appearance. Naloxone should be available wherever opioid pills, illicit or otherwise, are present."
OqDkgaDk,NH,2.3,766238.0,24.7,5.44,71.52,89.64,80.76,69.96,52.08,"New Hampshire Department of Health and Human Services Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the New Hampshire syndromic surveillance system indicate stable rates of approximately 11 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data. --- New Hampshire Department of Health and Human Services Issues Public Health Advisory on Cluster of Suspected Fentanyl-Involved Overdoses
New hampshire health officials are alerting clinicians, first responders, and the public to a recent cluster of 13 suspected nonfatal overdose events reported in the Manchester area. Preliminary toxicology indicates involvement of illicitly manufactured fentanyl, with several specimens also positive for benzodiazepine analogues. Naloxone remains the recommended reversal agent; clinicians should be prepared to administer repeat doses given fentanyl potency. Community members are encouraged to obtain naloxone through participating pharmacies or county health departments at no cost. Anyone witnessing an overdose should call 911; the New Hampshire Good Samaritan law provides limited protection from prosecution for those seeking help."
OqDkgaDk,NJ,4.5,4887577.0,34.6,6.17,53.04,66.48,59.9,51.89,38.63,"New Jersey Department of Health Warns of Xylazine Mixed Into Illicit Drug Supply
Toxicology reports from New Jersey medical examiners and law-enforcement seizures continue to show xylazine, a non-opioid veterinary sedative, mixed into the illicit fentanyl supply. Xylazine — also known as 'tranq' — was detected in approximately 24 percent of fentanyl-positive specimens analyzed in the past quarter. Xylazine causes prolonged sedation and can produce severe soft-tissue wounds. Naloxone reverses the opioid component of these mixtures and should still be administered when overdose is suspected. Individuals presenting with non-healing wounds should seek medical evaluation and be screened for substance use treatment options including buprenorphine and methadone. --- New Jersey Department of Health Authorizes Expanded Syringe Services Program Coverage
The Department has approved expansion of authorized syringe services programs to additional counties under New Jersey public health authority. Syringe services programs reduce transmission of HIV and hepatitis C, connect individuals to medication for opioid use disorder, and distribute naloxone and fentanyl test strips. Decades of peer-reviewed evidence and CDC guidance support syringe services programs as a core component of the public health response to drug-related harms."
OqDkgaDk,NM,3.8,975151.0,34.9,0.74,56.02,70.22,63.26,54.8,40.8,"New Mexico Department of Health Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the New Mexico syndromic surveillance system indicate stable rates of approximately 14 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data."
OqDkgaDk,NV,5.2,1625601.0,34.3,1.62,60.79,76.19,68.65,59.47,44.27,"Nevada Department of Health and Human Services Notes Increasing Co-Involvement of Methamphetamine and Fentanyl
Toxicology data from Nevada continue to show increasing co-involvement of methamphetamine and fentanyl in fatal and nonfatal overdose events; approximately 34 percent of fentanyl-positive overdose specimens were also positive for methamphetamine in the most recent quarter. Stimulant-opioid co-use poses unique clinical challenges; naloxone reverses the opioid component but stimulant toxicity may require separate medical management including supportive care and monitoring for cardiovascular complications. --- Nevada Department of Health and Human Services Expands Access to Medication for Opioid Use Disorder
The Department announces the addition of approximately 280 new buprenorphine-prescribing clinicians to the Nevada treatment network as a result of the federal removal of the X-waiver requirement and continued state-led training programs. Buprenorphine, methadone, and extended-release naltrexone remain the first-line treatments for opioid use disorder. Residents seeking medication for opioid use disorder may use the SAMHSA treatment locator at FindTreatment.gov or contact the state addiction services helpline. Medicaid covers all three medications and counseling services without prior authorization."
OqDkgaDk,NY,4.1,9894797.0,26.6,4.78,53.64,67.23,60.57,52.47,39.06,"New York State Department of Health Launches Quick Response Teams in Additional Counties
Quick Response Teams (QRTs) consisting of behavioral health peers, paramedics, and law enforcement liaisons will begin operations in Philadelphia, Cabell, Marion, Baltimore counties. QRTs follow up with overdose survivors within 72 hours of an emergency response, offering naloxone, fentanyl test strips where authorized, and warm handoffs to medication for opioid use disorder treatment. Funding for the expansion comes from a $3,200,000 HRSA grant administered by the Department's behavioral health division. --- New York State Department of Health Issues Alert on Detection of Nitazene Synthetic Opioids
State public health laboratory results have detected isotonitazene, N-pyrrolidino-protonitazene, and related synthetic opioids in samples submitted from 6 jurisdictions in the past 30 days. Nitazene analogues are extremely potent — some exceeding fentanyl in laboratory potency assays — and may not be reliably detected by point-of-care fentanyl test strips alone. Naloxone remains the recommended reversal agent; multiple sequential doses may be required. Clinicians treating suspected opioid overdose should consider repeat naloxone administration, airway management, and prolonged observation. --- New York State Department of Health Announces Expanded Over-the-Counter Naloxone Availability
Following the U.S. Food and Drug Administration approval of over-the-counter naloxone nasal spray, New York State Department of Health confirms that Narcan is now available without a prescription at participating retail pharmacies statewide, including major chains. The Department continues to operate 88 community distribution sites and supplies free naloxone to approximately 46 community-based organizations through state and federal opioid response funding. Residents may also request free naloxone by mail through the state harm-reduction program. The Department reminds the public that naloxone reverses opioid overdose only and is safe to administer; bystanders cannot harm a person who does not have opioids in their system."
OqDkgaDk,OH,3.9,5878180.0,29.9,4.37,77.48,97.11,87.49,75.79,56.42,"Ohio Department of Health Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the Ohio syndromic surveillance system indicate a decrease of approximately 4 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data. --- Ohio Department of Health Announces Recovery Housing Capacity Expansion
A $8,000,000 State Opioid Response grant will fund approximately 104 additional recovery housing beds across 18 provider organizations in Ohio. Recovery housing offers a substance-free living environment for individuals in recovery from opioid and other substance use disorders and is associated with improved treatment retention and reduced overdose recurrence. Funded providers must meet National Alliance for Recovery Residences standards. --- Ohio Department of Health Notes Increasing Co-Involvement of Methamphetamine and Fentanyl
Toxicology data from Ohio continue to show increasing co-involvement of methamphetamine and fentanyl in fatal and nonfatal overdose events; approximately 38 percent of fentanyl-positive overdose specimens were also positive for methamphetamine in the most recent quarter. Stimulant-opioid co-use poses unique clinical challenges; naloxone reverses the opioid component but stimulant toxicity may require separate medical management including supportive care and monitoring for cardiovascular complications."
OqDkgaDk,OK,3.3,1992262.0,33.9,2.39,59.6,74.7,67.3,58.3,43.4,
OqDkgaDk,OR,4.1,2182307.0,34.1,7.26,62.58,78.44,70.67,61.22,45.57,
OqDkgaDk,PA,3.7,6609810.0,30.0,5.65,66.75,83.66,75.38,65.3,48.61,"Pennsylvania Department of Health Warns Public of Counterfeit Pills Containing Fentanyl
Tablets sold as oxycodone, hydrocodone, Adderall, and Xanax continue to be seized in Pennsylvania that, on laboratory analysis, contain illicitly manufactured fentanyl. The Drug Enforcement Administration has reported that approximately 62 percent of counterfeit pills tested nationally contain a potentially lethal dose of fentanyl. Residents are urged to obtain medications only from licensed pharmacies and to assume that any pill obtained from a non-pharmacy source may contain fentanyl regardless of its appearance. Naloxone should be available wherever opioid pills, illicit or otherwise, are present. --- Pennsylvania Department of Health Warns of Xylazine Mixed Into Illicit Drug Supply
Toxicology reports from Pennsylvania medical examiners and law-enforcement seizures continue to show xylazine, a non-opioid veterinary sedative, mixed into the illicit fentanyl supply. Xylazine — also known as 'tranq' — was detected in approximately 19 percent of fentanyl-positive specimens analyzed in the past quarter. Xylazine causes prolonged sedation and can produce severe soft-tissue wounds. Naloxone reverses the opioid component of these mixtures and should still be administered when overdose is suspected. Individuals presenting with non-healing wounds should seek medical evaluation and be screened for substance use treatment options including buprenorphine and methadone. --- Pennsylvania Department of Health Pilots Drug Checking and Fentanyl Test Strip Distribution
Beginning this month the Department will support a pilot program providing fentanyl test strips and xylazine immunoassay strips through approximately 17 authorized harm reduction sites across Pennsylvania. Drug checking allows individuals who use drugs to detect adulterants prior to use, an evidence-based intervention shown to reduce overdose risk. Test strips are legal under Pennsylvania statute when used for harm reduction and are distributed at no cost to the recipient. Site locations are listed on the Department's harm reduction webpage."
OqDkgaDk,RI,3.8,591198.0,32.1,8.22,58.41,73.21,65.95,57.13,42.53,"Rhode Island Department of Health Notes Increasing Co-Involvement of Methamphetamine and Fentanyl
Toxicology data from Rhode Island continue to show increasing co-involvement of methamphetamine and fentanyl in fatal and nonfatal overdose events; approximately 23 percent of fentanyl-positive overdose specimens were also positive for methamphetamine in the most recent quarter. Stimulant-opioid co-use poses unique clinical challenges; naloxone reverses the opioid component but stimulant toxicity may require separate medical management including supportive care and monitoring for cardiovascular complications. --- Rhode Island Department of Health Issues Public Health Advisory on Cluster of Suspected Fentanyl-Involved Overdoses
Rhode island health officials are alerting clinicians, first responders, and the public to a recent cluster of 6 suspected nonfatal overdose events reported in the Cranston area. Preliminary toxicology indicates involvement of illicitly manufactured fentanyl, with several specimens also positive for methamphetamine. Naloxone remains the recommended reversal agent; clinicians should be prepared to administer repeat doses given fentanyl potency. Community members are encouraged to obtain naloxone through participating pharmacies or county health departments at no cost. Anyone witnessing an overdose should call 911; the Rhode Island Good Samaritan law provides limited protection from prosecution for those seeking help."
OqDkgaDk,SC,3.4,2529376.0,45.9,4.85,56.62,70.96,63.93,55.38,41.23,"South Carolina Department of Public Health Announces Recovery Housing Capacity Expansion
A $10,000,000 State Opioid Response grant will fund approximately 294 additional recovery housing beds across 20 provider organizations in South Carolina. Recovery housing offers a substance-free living environment for individuals in recovery from opioid and other substance use disorders and is associated with improved treatment retention and reduced overdose recurrence. Funded providers must meet National Alliance for Recovery Residences standards."
OqDkgaDk,SD,1.8,482012.0,16.4,0.35,50.06,62.75,56.53,48.97,36.46,"South Dakota Department of Health Issues Alert on Detection of Nitazene Synthetic Opioids
State public health laboratory results have detected isotonitazene, N-pyrrolidino-protonitazene, and related synthetic opioids in samples submitted from 7 jurisdictions in the past 30 days. Nitazene analogues are extremely potent — some exceeding fentanyl in laboratory potency assays — and may not be reliably detected by point-of-care fentanyl test strips alone. Naloxone remains the recommended reversal agent; multiple sequential doses may be required. Clinicians treating suspected opioid overdose should consider repeat naloxone administration, airway management, and prolonged observation. --- South Dakota Department of Health Releases Provisional Suspected-Overdose Surveillance Update
Provisional data from the South Dakota syndromic surveillance system indicate stable rates of approximately 16 percent in suspected nonfatal overdose emergency department encounters compared with the same period one year earlier. Surveillance counts are preliminary and subject to revision as additional records are reported and toxicology completes. The Department continues to publish these data monthly through its DOSE-SYS dashboard alongside national CDC data."
OqDkgaDk,TN,3.2,3428697.0,34.8,6.47,71.52,89.64,80.76,69.96,52.08,"Tennessee Department of Health Announces Expanded Over-the-Counter Naloxone Availability
Following the U.S. Food and Drug Administration approval of over-the-counter naloxone nasal spray, Tennessee Department of Health confirms that Narcan is now available without a prescription at participating retail pharmacies statewide, including major chains. The Department continues to operate 118 community distribution sites and supplies free naloxone to approximately 26 community-based organizations through state and federal opioid response funding. Residents may also request free naloxone by mail through the state harm-reduction program. The Department reminds the public that naloxone reverses opioid overdose only and is safe to administer; bystanders cannot harm a person who does not have opioids in their system."
OqDkgaDk,TX,4.0,15429166.0,44.3,3.09,52.45,65.74,59.22,51.3,38.19,
OqDkgaDk,UT,3.0,1814243.0,29.9,1.34,52.45,65.74,59.22,51.3,38.19,"Utah Department of Health and Human Services Expands Access to Medication for Opioid Use Disorder
The Department announces the addition of approximately 128 new buprenorphine-prescribing clinicians to the Utah treatment network as a result of the federal removal of the X-waiver requirement and continued state-led training programs. Buprenorphine, methadone, and extended-release naltrexone remain the first-line treatments for opioid use disorder. Residents seeking medication for opioid use disorder may use the SAMHSA treatment locator at FindTreatment.gov or contact the state addiction services helpline. Medicaid covers all three medications and counseling services without prior authorization."
OqDkgaDk,VA,2.8,4553867.0,37.1,5.71,59.6,74.7,67.3,58.3,43.4,"Virginia Department of Health Issues Public Health Advisory on Cluster of Suspected Fentanyl-Involved Overdoses
Virginia health officials are alerting clinicians, first responders, and the public to a recent cluster of 17 suspected nonfatal overdose events reported in the Arlington area. Preliminary toxicology indicates involvement of illicitly manufactured fentanyl, with several specimens also positive for cocaine. Naloxone remains the recommended reversal agent; clinicians should be prepared to administer repeat doses given fentanyl potency. Community members are encouraged to obtain naloxone through participating pharmacies or county health departments at no cost. Anyone witnessing an overdose should call 911; the Virginia Good Samaritan law provides limited protection from prosecution for those seeking help."
